Date,Close,High,Low,Open,Volume,ticker,source,is_filled
2020-01-02,35.00737762451172,35.01224756265693,34.26730304276419,34.60325819597027,5484200,UPRO,yfinance,0
2020-01-03,34.247825622558594,34.60812673727398,33.79015175158988,33.81449401198465,6434800,UPRO,yfinance,0
2020-01-06,34.60325622558594,34.62273226238338,33.56131240230497,33.59052460016404,4673800,UPRO,yfinance,0
2020-01-07,34.30138397216797,34.559438679332686,34.14557938907897,34.40850031954308,3871200,UPRO,yfinance,0
2020-01-08,34.832096099853516,35.26542771674362,34.281911973212246,34.37928844555916,7609000,UPRO,yfinance,0
2020-01-09,35.54295349121094,35.56729946577322,35.18265609866908,35.4017550110329,4257400,UPRO,yfinance,0
2020-01-10,35.2410774230957,35.80100135716663,35.070666760032516,35.75718306438203,4863000,UPRO,yfinance,0
2020-01-13,35.951934814453125,35.95680475171744,35.29950437863621,35.460178876295146,3547000,UPRO,yfinance,0
2020-01-14,35.78152847290039,36.16130190250336,35.5916417580989,35.80100450963313,5305400,UPRO,yfinance,0
2020-01-15,36.02984619140625,36.2976370746446,35.718237008005886,35.757189084599545,6929400,UPRO,yfinance,0
2020-01-16,36.90624237060547,36.90624237060547,36.41935264917096,36.50699294761612,3962200,UPRO,yfinance,0
2020-01-17,37.2519416809082,37.32010595947221,36.9500686510715,37.164301363515264,6911000,UPRO,yfinance,0
2020-01-21,37.04257583618164,37.31036298986344,36.86242527795353,36.881901315167994,5034600,UPRO,yfinance,0
2020-01-22,37.06204605102539,37.5684117950297,36.9841419144061,37.339573037052645,3390600,UPRO,yfinance,0
2020-01-23,37.139949798583984,37.20324784392346,36.37066309661607,36.78938858175435,5179000,UPRO,yfinance,0
2020-01-24,36.14182662963867,37.402869259063515,35.674409215563664,37.39313309882914,10740400,UPRO,yfinance,0
2020-01-27,34.41337203979492,34.92947405150487,34.11636895748179,34.257567448636756,13672800,UPRO,yfinance,0
2020-01-28,35.47966003417969,35.781529324032235,34.73471554146065,34.90512993825721,6222200,UPRO,yfinance,0
2020-01-29,35.38715362548828,36.02984806398866,35.31411940674796,35.96655372224021,4409600,UPRO,yfinance,0
2020-01-30,35.693885803222656,35.7863960429136,34.37441504794549,34.642205891959314,7025000,UPRO,yfinance,0
2020-01-31,33.775550842285156,35.54295969244864,33.44446558971371,35.48453157210962,13743000,UPRO,yfinance,0
2020-02-03,34.5156135559082,35.158307867556374,34.23808655121181,34.281908559676474,6987000,UPRO,yfinance,0
2020-02-04,36.0882682800293,36.390137536535796,35.65980293839603,35.78639530884893,5444000,UPRO,yfinance,0
2020-02-05,37.31036376953125,37.40287401956457,36.61898115000421,37.14969295983437,6672400,UPRO,yfinance,0
2020-02-06,37.695003509521484,37.76316777726808,37.300624001177056,37.69013728659244,3941200,UPRO,yfinance,0
2020-02-07,37.11560821533203,37.568415842867104,36.89650559348817,37.30549492545892,5909000,UPRO,yfinance,0
2020-02-10,37.9287109375,37.9287109375,36.75043867535231,36.76017483555423,4518600,UPRO,yfinance,0
2020-02-11,38.123470306396484,38.7126064797012,37.93358359411952,38.430209522842176,5982600,UPRO,yfinance,0
2020-02-12,38.83919906616211,38.91710321992292,38.5032476184235,38.649312334713265,4594400,UPRO,yfinance,0
2020-02-13,38.6931266784668,39.068030128756426,38.1867609234385,38.29874719359834,5260200,UPRO,yfinance,0
2020-02-14,38.88301467895508,38.91709681194494,38.40586110242311,38.8391926710116,4598800,UPRO,yfinance,0
2020-02-18,38.57627868652344,38.7126072298075,38.05043683556414,38.49350460123736,4920600,UPRO,yfinance,0
2020-02-19,39.126461029052734,39.37477584433889,38.819721820527974,38.93657432167921,2816000,UPRO,yfinance,0
2020-02-20,38.6152229309082,39.21409892757767,37.490508853984295,38.90248980051067,7485400,UPRO,yfinance,0
2020-02-21,37.427215576171875,38.220844513500815,37.12047266319451,38.11859811406633,10155200,UPRO,yfinance,0
2020-02-24,33.68303680419922,34.827227101170216,33.29352347495724,33.93135164445784,16498800,UPRO,yfinance,0
2020-02-25,30.630237579345703,34.35494347575787,30.31375846294292,34.165056748851086,17715800,UPRO,yfinance,0
2020-02-26,30.294282913208008,32.20775991028614,30.036230065053285,31.05869972445084,16942600,UPRO,yfinance,0
2020-02-27,26.17032241821289,29.700272883925326,26.16058440094429,28.502524619940992,27476400,UPRO,yfinance,0
2020-02-28,25.995040893554688,25.995040893554688,23.005538420339487,23.8527273190786,29334200,UPRO,yfinance,0
2020-03-02,29.145221710205078,29.184171925696898,25.352349984666155,26.2920473822867,19694200,UPRO,yfinance,0
2020-03-03,26.66695213317871,30.503643926797988,25.897665427921844,29.29128761830363,25196800,UPRO,yfinance,0
