Date,Close,High,Low,Open,Volume,ticker,source,is_filled
2020-01-02,301.19488525390625,301.21344584893905,299.02541765431675,299.961822308594,59151200,SPY,yfinance,0
2020-01-03,298.9142150878906,300.0545884148705,297.6996842496835,297.7553094565026,77709700,SPY,yfinance,0
2020-01-06,300.05462646484375,300.1380642856531,297.0136305406016,297.1341612685256,55653900,SPY,yfinance,0
2020-01-07,299.2109069824219,299.9618755812816,298.75659672728324,299.47975272224426,40496400,SPY,yfinance,0
2020-01-08,300.8055114746094,302.0385744306047,299.155231237021,299.40554462982266,68296000,SPY,yfinance,0
2020-01-09,302.8452453613281,302.919431173848,301.79759003486487,302.3909633606342,48473300,SPY,yfinance,0
2020-01-10,301.9736633300781,303.59613093835384,301.5008491524502,303.43853564367447,53029300,SPY,yfinance,0
2020-01-13,304.05047607421875,304.0597280791176,302.1684145639248,302.6041641891452,47086800,SPY,yfinance,0
2020-01-14,303.58685302734375,304.67157257704264,303.02129251091276,303.6053853270217,62832800,SPY,yfinance,0
2020-01-15,304.27301025390625,305.0425111860947,303.4107912074118,303.4942290222084,72056600,SPY,yfinance,0
2020-01-16,306.803955078125,306.803955078125,305.4410813618761,305.67286241366276,54050300,SPY,yfinance,0
2020-01-17,307.7589416503906,307.9721621446216,306.7390991988838,307.52716056112047,95846000,SPY,yfinance,0
2020-01-21,307.15631103515625,307.9721850570609,306.71130941854796,306.78546692345196,77742400,SPY,yfinance,0
2020-01-22,307.1933898925781,308.6860748629666,307.03579459176376,308.02779617917,48914900,SPY,yfinance,0
2020-01-23,307.54571533203125,307.9629326406357,305.4040601741914,306.5351531042118,51963000,SPY,yfinance,0
2020-01-24,304.8106384277344,308.29663476393586,303.5033898016588,308.2131969742188,87578400,SPY,yfinance,0
2020-01-27,299.9246826171875,301.42661931383003,299.14590167424643,299.48893310575295,84062500,SPY,yfinance,0
2020-01-28,303.06768798828125,303.9577194292598,300.01744099849935,301.3710346078026,63834000,SPY,yfinance,0
2020-01-29,302.8173828125,304.68091200775257,302.6134143021062,304.4491308956502,53888900,SPY,yfinance,0
2020-01-30,303.8001708984375,304.0134197342434,299.9618899091055,300.72211054984706,75491800,SPY,yfinance,0
2020-01-31,298.2838134765625,303.327373660985,297.3566888587436,303.1697500267727,113845600,SPY,yfinance,0
2020-02-03,300.49957275390625,302.3909145575543,299.66516640610627,299.78569711180046,69083000,SPY,yfinance,0
2020-02-04,305.0796203613281,305.960400053816,303.8372767854383,304.1617760560179,62573200,SPY,yfinance,0
2020-02-05,308.6026306152344,308.81587942426825,306.5722541013585,308.0556305853747,65951100,SPY,yfinance,0
2020-02-06,309.64105224609375,309.8357404698621,308.5470238274841,309.5761467403061,50359700,SPY,yfinance,0
2020-02-07,307.99078369140625,309.6503162476195,307.4345033083513,308.56559637957804,64139400,SPY,yfinance,0
2020-02-10,310.2900085449219,310.35491404780646,307.0543532223912,307.0914461231243,42070000,SPY,yfinance,0
2020-02-11,310.8277282714844,312.45944793843125,310.2899802874024,311.6621345536354,54864500,SPY,yfinance,0
2020-02-12,312.83026123046875,313.0434816894039,311.91238902925915,312.2832330519852,43992700,SPY,yfinance,0
2020-02-13,312.49652099609375,313.47927051168205,311.1058345162701,311.3839604947992,54501900,SPY,yfinance,0
2020-02-14,312.9972229003906,313.11775360699056,311.6992543169933,312.9137850943429,64582200,SPY,yfinance,0
2020-02-18,312.1905517578125,313.06205079639454,310.78130482210395,311.9865832957276,57226200,SPY,yfinance,0
2020-02-19,313.6832580566406,314.3693210410979,312.88594467401083,313.1733509671533,48814700,SPY,yfinance,0
2020-02-20,312.39459228515625,313.9614348568064,309.3628772496284,313.1270002235024,74163400,SPY,yfinance,0
2020-02-21,309.177490234375,311.3376778826908,308.34305554467204,311.0224589460985,113788200,SPY,yfinance,0
2020-02-24,298.92352294921875,309.25167617579024,297.82949442918135,299.59105378619194,161088400,SPY,yfinance,0
2020-02-25,289.865478515625,300.9538799672394,288.97544688943134,300.33272237683167,218913200,SPY,yfinance,0
2020-02-26,288.79925537109375,294.92753417541184,288.05756715627723,291.28394201367996,194773800,SPY,yfinance,0
2020-02-27,275.82879638671875,288.8548832240512,275.82879638671875,283.1994185799881,284353500,SPY,yfinance,0
2020-02-28,274.6698303222656,276.1810473270202,264.7310575575094,267.6607734863517,384975800,SPY,yfinance,0
2020-03-02,286.5648498535156,286.6297553457382,273.00101665842163,276.47773282420764,238703600,SPY,yfinance,0
2020-03-03,278.3598327636719,290.9687308042171,275.88442635371035,286.9450141305417,300139100,SPY,yfinance,0
2020-03-04,290.0602111816406,290.28274034247676,281.2247141928602,283.8113999488837,176613400,SPY,yfinance,0
2020-03-05,280.41802978515625,285.9900563178503,278.14659204867735,282.7544013117626,186366800,SPY,yfinance,0
2020-03-06,275.7824401855469,277.00625129088274,269.0793482960723,271.78653593607663,228667200,SPY,yfinance,0
2020-03-09,254.2453155517578,263.4794659690708,253.5221597051054,255.23731708309631,309417300,SPY,yfinance,0
2020-03-10,267.4012756347656,267.49396545505346,253.56856487503316,263.89674596128964,276444100,SPY,yfinance,0
2020-03-11,254.36587524414062,261.3934951026014,251.13949995245284,260.2438697268134,255316300,SPY,yfinance,0
2020-03-12,230.0288543701172,247.22701623405294,229.63018348899212,237.3438659219169,392220700,SPY,yfinance,0
2020-03-13,249.69320678710938,251.6957993401933,230.409012067321,243.91721028038677,329566100,SPY,yfinance,0
2020-03-16,222.3707733154297,238.17823161878607,220.06222867092552,223.60383620910417,297240000,SPY,yfinance,0
2020-03-17,234.37705993652344,237.50147890148386,219.79339653886174,227.1825652688413,262070500,SPY,yfinance,0
2020-03-18,222.50985717773438,230.26988391983323,211.4029107680486,219.03314065933228,327597100,SPY,yfinance,0
2020-03-19,222.98269653320312,229.3520511289964,215.2968410618975,221.81452481822967,289322000,SPY,yfinance,0
2020-03-20,213.37344360351562,227.98691137437177,213.09366788939272,226.17771121702543,347158800,SPY,yfinance,0
2020-03-23,207.91786193847656,214.19409581010046,203.54407726275934,212.8045663726438,326025200,SPY,yfinance,0
2020-03-24,226.75587463378906,227.64183331906816,218.0362965748379,218.6144892073509,235494500,SPY,yfinance,0
2020-03-25,230.15048217773438,239.06592291440546,223.5851517615496,228.35993751877487,299430300,SPY,yfinance,0
2020-03-26,243.5889129638672,245.08101210449942,232.2581036824026,232.6964156314542,257632800,SPY,yfinance,0
2020-03-27,236.33346557617188,243.2252033197618,234.1232644732971,236.19358483421166,224341200,SPY,yfinance,0
2020-03-30,244.0085906982422,244.73599909618724,236.43607546323167,238.45976438879532,171369500,SPY,yfinance,0
2020-03-31,240.37152099609375,245.5752837876098,238.9446805161645,242.99205790066983,194881100,SPY,yfinance,0
2020-04-01,229.5536346435547,240.28759621981686,227.4553381139793,231.2602508618741,189554600,SPY,yfinance,0
2020-04-02,234.85069274902344,235.6433740707997,228.09883517362218,228.65838664898143,177660400,SPY,yfinance,0
2020-04-03,231.4561309814453,236.240252301449,228.68637803091536,233.85284484689524,135561200,SPY,yfinance,0
2020-04-06,247.0021514892578,248.99787848320506,231.43746459643546,240.45547594101922,188061200,SPY,yfinance,0
2020-04-07,247.25390625,256.4864039593364,247.03009709291382,255.72168472600666,201427200,SPY,yfinance,0
2020-04-08,255.55389404296875,257.39107057642394,247.36587489274078,249.89314881257962,153774500,SPY,yfinance,0
2020-04-09,259.4427185058594,262.24044719516786,256.8967751530002,258.8644973370292,189999200,SPY,yfinance,0
2020-04-13,257.0740051269531,258.79927710047826,253.1105555612745,258.4542283977677,114839100,SPY,yfinance,0
2020-04-14,264.65576171875,265.6909074598585,256.93403326466927,262.0352253295003,134143400,SPY,yfinance,0
2020-04-15,259.0323791503906,264.7956933412649,256.88743677523325,258.85518739235687,121775000,SPY,yfinance,0
2020-04-16,260.2820129394531,261.149301941165,257.1672119683842,260.3286303636444,131798300,SPY,yfinance,0
2020-04-17,267.3136291503906,267.9291043366545,263.35948710128525,266.1385741475947,146684800,SPY,yfinance,0
2020-04-20,262.6040954589844,267.4535024683319,262.38028630654054,263.555312816834,100109300,SPY,yfinance,0
2020-04-21,254.63059997558594,259.29348072578364,253.67935408816768,258.0718082460291,126385700,SPY,yfinance,0
2020-04-22,260.2820129394531,262.0539019582094,258.23966886447624,259.5825808167889,92951600,SPY,yfinance,0
2020-04-23,260.26336669921875,264.79570206245927,259.9556290598479,261.5783026237401,104709700,SPY,yfinance,0
2020-04-24,263.89111328125,264.57190421689205,259.7224961366366,261.80215150389427,85063200,SPY,yfinance,0
2020-04-27,267.6960144042969,268.833758623907,265.4298608352278,265.8961489832652,77896600,SPY,yfinance,0
2020-04-28,266.4650573730469,271.75274947176473,266.15729123229136,271.39836589633586,105270000,SPY,yfinance,0
2020-04-29,273.4406433105469,274.99805799396466,270.82944149040577,271.8739222184622,118745600,SPY,yfinance,0
2020-04-30,270.894775390625,273.5432886822996,269.1321925129427,272.04182603168465,122901700,SPY,yfinance,0
2020-05-01,263.72320556640625,271.0625749832255,262.5388156947959,266.0732871131243,125180000,SPY,yfinance,0
2020-05-04,264.4506530761719,264.7583907151607,260.3100122645108,261.8114463607373,80873200,SPY,yfinance,0
2020-05-05,266.89398193359375,269.7476627964931,264.5811827381862,267.31365260282996,79569900,SPY,yfinance,0
2020-05-06,265.0847473144531,269.01088459172803,264.64643542411864,268.6192185807688,73632600,SPY,yfinance,0
2020-05-07,268.2835693359375,270.24198544905727,267.77066370487006,268.34885651370183,75250400,SPY,yfinance,0
2020-05-08,272.72265625,273.19827934134696,270.316593098453,271.46367236465323,76452400,SPY,yfinance,0
2020-05-11,272.778564453125,274.17742888621797,270.3352191302512,270.7641962542748,79514200,SPY,yfinance,0
2020-05-12,267.3417053222656,274.4012874687864,267.20179608580287,273.9816451393227,95870800,SPY,yfinance,0
2020-05-13,262.6134948730469,267.82659303640895,260.15147975118873,266.77277725136986,144721100,SPY,yfinance,0
2020-05-14,265.75628662109375,265.88683251239354,254.5840115754102,260.14218717581855,121977900,SPY,yfinance,0
2020-05-15,266.9779357910156,267.02455322093897,262.37100669980106,263.331559127971,111146300,SPY,yfinance,0
2020-05-18,275.1100158691406,276.7420244378559,272.96510170567467,273.291480651441,119703800,SPY,yfinance,0
2020-05-19,272.2843017578125,276.23841613805683,272.26566047751754,274.5038378916187,95189300,SPY,yfinance,0
2020-05-20,276.9098205566406,277.7864443864766,275.64153069387817,275.87467472394167,85861700,SPY,yfinance,0
2020-05-21,274.9980773925781,277.5999729875924,273.8883094257428,276.7793013690956,78293900,SPY,yfinance,0
2020-05-22,275.52032470703125,275.6975164681969,273.450004330225,274.7089879374664,63958200,SPY,yfinance,0
2020-05-26,278.9149169921875,281.81524418534843,275.53899522224816,281.57276523171595,88951400,SPY,yfinance,0
2020-05-27,283.06488037109375,283.1021913915124,276.85391885998195,281.7499443860414,104817400,SPY,yfinance,0
2020-05-28,282.5426330566406,286.15169866023473,281.8618421354063,284.1093543565007,90405200,SPY,yfinance,0
2020-05-29,283.80157470703125,284.3984086310391,279.2785747846173,282.06696830607984,119090800,SPY,yfinance,0
2020-06-01,284.9486083984375,285.56411202327604,282.6265030783365,283.1487434036607,55758300,SPY,yfinance,0
2020-06-02,287.30804443359375,287.35469031653145,284.52898575324014,285.88120407905984,74267200,SPY,yfinance,0
2020-06-03,291.13165283203125,292.1015401206026,289.0426910966183,289.3224525933364,92567600,SPY,yfinance,0
2020-06-04,290.3669128417969,291.8963514751666,288.24064023782057,290.13376879109785,75794400,SPY,yfinance,0
2020-06-05,297.8089599609375,299.6088256780351,295.77595013147055,295.8412373133279,150524700,SPY,yfinance,0
2020-06-08,301.4086608886719,301.60449393595724,298.0793567849757,298.6295733673282,73641200,SPY,yfinance,0
2020-06-09,299.1611633300781,301.48326924159016,297.82755757329386,298.70418158405954,77479200,SPY,yfinance,0
2020-06-10,297.4918212890625,300.65326841119503,296.7644129584786,299.7486683177794,95000800,SPY,yfinance,0
2020-06-11,280.3416748046875,291.10361047013225,279.7821519385161,290.4601307140725,209243600,SPY,yfinance,0
2020-06-12,283.698974609375,288.24061577799773,278.4672362164336,287.4572552493203,194678900,SPY,yfinance,0
2020-06-15,286.34747314453125,287.4945519651712,276.7326160645818,277.9263123051004,135782700,SPY,yfinance,0
2020-06-16,291.85906982421875,294.35839592876164,286.92576170622976,294.2091803061046,137627500,SPY,yfinance,0
