Date,Close,High,Low,Open,Volume,ticker,source,is_filled
2020-03-03,138.01710510253906,140.99233036215725,134.51215999080588,135.79230058352576,38608000,TLT,yfinance,0
2020-03-04,136.5515899658203,138.9176554531093,136.12782206934264,138.08776711364237,23463700,TLT,yfinance,0
2020-03-05,139.9505157470703,140.21537557982074,138.44082413032436,138.72334487761302,17786200,TLT,yfinance,0
2020-03-06,147.234130859375,149.49424362477302,144.8857269663489,147.7020441988675,76288300,TLT,yfinance,0
2020-03-09,151.22470092773438,158.64953797865977,150.38598874365366,158.11983140145426,41552800,TLT,yfinance,0
2020-03-10,143.47315979003906,152.6725328307053,143.0493919847128,149.76793773868079,37728300,TLT,yfinance,0
2020-03-11,138.19366455078125,147.46366703656113,137.3990982976768,146.0510898406704,29519300,TLT,yfinance,0
2020-03-12,139.05003356933594,146.87215028231196,137.4255792674239,144.3560014291903,24361800,TLT,yfinance,0
2020-03-13,135.90704345703125,139.66801038820714,134.3620433123136,136.8428699607042,19812900,TLT,yfinance,0
2020-03-16,144.7091064453125,146.68669767233024,139.3236728974591,141.59262204721483,30496700,TLT,yfinance,0
2020-03-17,135.0595703125,146.22772855982606,134.8212084273254,144.34723730429914,18570900,TLT,yfinance,0
2020-03-18,127.44050598144531,136.08367636721596,122.72603593605007,134.93595873861653,47061000,TLT,yfinance,0
2020-03-19,130.91009521484375,135.47446639186654,128.23503834969628,129.7358932471297,21175300,TLT,yfinance,0
2020-03-20,140.7540283203125,140.7540283203125,134.29151550707277,135.3421185619168,20863100,TLT,yfinance,0
2020-03-23,146.55435180664062,147.1635256653472,138.229011661216,139.05006270810782,19971800,TLT,yfinance,0
2020-03-24,143.82627868652344,146.06873018748183,141.61913554838884,142.36073240968224,11948600,TLT,yfinance,0
2020-03-25,143.49960327148438,147.15463153836092,142.68737626454867,144.42660602517495,10750600,TLT,yfinance,0
2020-03-26,144.20594787597656,146.27183129398392,143.26129730982942,144.7886370876208,10576200,TLT,yfinance,0
2020-03-27,148.05519104003906,148.54076532973772,145.30950384338186,146.13056827347876,12550000,TLT,yfinance,0
2020-03-30,146.8368377685547,150.1828611258947,146.50134767192412,148.584891512085,13473200,TLT,yfinance,0
2020-03-31,145.64500427246094,147.3665737199756,145.28302946081166,146.2894864817692,11464800,TLT,yfinance,0
2020-04-01,147.68556213378906,149.3831092708609,147.11971758503117,148.95871574119383,11334700,TLT,yfinance,0
2020-04-02,148.62274169921875,149.6129662022663,147.88005983113604,149.26815492061246,5771200,TLT,yfinance,0
2020-04-03,148.9763946533203,150.5943594901126,148.6581062675448,149.02060399677754,6570800,TLT,yfinance,0
2020-04-06,148.58731079101562,148.7729845582112,147.23458909976367,147.65013246800885,9434800,TLT,yfinance,0
2020-04-07,147.0312957763672,147.13738740140116,144.74139493073952,145.8465609941656,13811400,TLT,yfinance,0
2020-04-08,145.96148681640625,146.93403833338397,145.11272684776793,145.97917325056852,10147100,TLT,yfinance,0
2020-04-09,146.22671508789062,146.58036279182656,144.80326081973647,145.24532719505396,14259100,TLT,yfinance,0
2020-04-13,144.8916778564453,146.50964239074884,144.8916778564453,145.6608690237653,8750300,TLT,yfinance,0
2020-04-14,144.85635375976562,145.652081588729,144.53806532634016,144.85635375976562,9019100,TLT,yfinance,0
2020-04-15,148.6934051513672,149.06475269268574,147.4202656170443,147.4733114112921,10027800,TLT,yfinance,0
2020-04-16,150.3821563720703,150.58551664520817,149.4361412179476,149.648324472287,8265400,TLT,yfinance,0
2020-04-17,148.36627197265625,151.04519235586528,147.88884636083705,150.14338692345223,8612100,TLT,yfinance,0
2020-04-20,149.55995178222656,149.6748799063709,148.4989948075719,148.9233748992738,6462600,TLT,yfinance,0
2020-04-21,151.44314575195312,152.20350072238435,150.99224274851596,152.00899037012522,7850700,TLT,yfinance,0
2020-04-22,149.89585876464844,150.6473769897709,149.16204046253895,150.2760428579629,6230200,TLT,yfinance,0
2020-04-23,150.69154357910156,151.12475986459205,149.95771199435896,150.18758158480713,5968600,TLT,yfinance,0
2020-04-24,151.0452880859375,151.0452880859375,149.9224488179206,149.9578082042173,6211800,TLT,yfinance,0
2020-04-27,148.2337646484375,150.0815996627522,148.03925427947794,150.0020309183963,9039500,TLT,yfinance,0
2020-04-28,149.9401397705078,150.17002302683994,148.93222850502482,149.02064721758356,9905400,TLT,yfinance,0
2020-04-29,149.16204833984375,150.53244336622228,148.49894874999774,149.8870302095283,8619600,TLT,yfinance,0
2020-04-30,147.42030334472656,149.62178531416322,147.39378044081494,149.18856888974324,11606100,TLT,yfinance,0
2020-05-01,148.68270874023438,148.82435672072296,147.3459413836477,148.28433561486835,10209400,TLT,yfinance,0
2020-05-04,147.9833221435547,148.44365775037159,147.38132506867365,148.33742853468968,8300900,TLT,yfinance,0
2020-05-05,147.0360870361328,147.19544439008706,146.31016478097078,146.57575136536462,7831800,TLT,yfinance,0
2020-05-06,144.6635284423828,144.86713894802404,143.4595477645287,144.50417110575114,14721500,TLT,yfinance,0
2020-05-07,147.0803985595703,147.28400914942054,144.60161219666261,144.7963748507103,9164800,TLT,yfinance,0
2020-05-08,145.16819763183594,146.4252934983879,144.9026109539335,145.61969903675993,8129800,TLT,yfinance,0
2020-05-11,144.03497314453125,145.3806017780286,143.50381354509594,144.88484741523834,8713500,TLT,yfinance,0
2020-05-12,145.513427734375,146.00918223151277,144.41568949308336,144.4422468048374,10057300,TLT,yfinance,0
2020-05-13,146.53147888183594,147.21313442789537,145.92063381440286,146.15080164067425,13305600,TLT,yfinance,0
2020-05-14,147.9656524658203,148.8597801236916,147.88598053268552,148.12500984038644,10080000,TLT,yfinance,0
2020-05-15,147.5850067138672,149.16080373392305,147.24859605510306,148.99259840454098,7225600,TLT,yfinance,0
2020-05-18,144.34487915039062,146.1242867477648,143.78714853418904,146.00919604707605,10073100,TLT,yfinance,0
