date,value,ticker,data_flag
2020-07-15,5.81,BAMLH0A0HYM2,actual
2020-07-16,5.76,BAMLH0A0HYM2,actual
2020-07-17,5.74,BAMLH0A0HYM2,actual
2020-07-20,5.54,BAMLH0A0HYM2,actual
2020-07-21,5.33,BAMLH0A0HYM2,actual
2020-07-22,5.28,BAMLH0A0HYM2,actual
2020-07-23,5.26,BAMLH0A0HYM2,actual
2020-07-24,5.29,BAMLH0A0HYM2,actual
2020-07-27,5.24,BAMLH0A0HYM2,actual
2020-07-28,5.27,BAMLH0A0HYM2,actual
2020-07-29,5.15,BAMLH0A0HYM2,actual
2020-07-30,5.14,BAMLH0A0HYM2,actual
2020-07-31,5.16,BAMLH0A0HYM2,actual
2020-08-03,5.08,BAMLH0A0HYM2,actual
2020-08-04,5.13,BAMLH0A0HYM2,actual
2020-08-05,5.04,BAMLH0A0HYM2,actual
2020-08-06,5.06,BAMLH0A0HYM2,actual
2020-08-07,5.06,BAMLH0A0HYM2,actual
2020-08-10,5.09,BAMLH0A0HYM2,actual
2020-08-11,5.03,BAMLH0A0HYM2,actual
2020-08-12,5.1,BAMLH0A0HYM2,actual
2020-08-13,5.16,BAMLH0A0HYM2,actual
2020-08-14,5.26,BAMLH0A0HYM2,actual
2020-08-17,5.29,BAMLH0A0HYM2,actual
2020-08-18,5.26,BAMLH0A0HYM2,actual
2020-08-19,5.25,BAMLH0A0HYM2,actual
2020-08-20,5.28,BAMLH0A0HYM2,actual
2020-08-21,5.25,BAMLH0A0HYM2,actual
2020-08-24,5.17,BAMLH0A0HYM2,actual
2020-08-25,5.07,BAMLH0A0HYM2,actual
2020-08-26,5.02,BAMLH0A0HYM2,actual
2020-08-27,4.98,BAMLH0A0HYM2,actual
2020-08-28,5.0,BAMLH0A0HYM2,actual
2020-08-31,5.02,BAMLH0A0HYM2,actual
2020-09-01,4.97,BAMLH0A0HYM2,actual
2020-09-02,4.93,BAMLH0A0HYM2,actual
2020-09-03,5.04,BAMLH0A0HYM2,actual
2020-09-04,5.13,BAMLH0A0HYM2,actual
2020-09-07,5.13,BAMLH0A0HYM2,actual
2020-09-08,5.25,BAMLH0A0HYM2,actual
2020-09-09,5.16,BAMLH0A0HYM2,actual
2020-09-10,5.16,BAMLH0A0HYM2,actual
2020-09-11,5.21,BAMLH0A0HYM2,actual
2020-09-14,5.18,BAMLH0A0HYM2,actual
2020-09-15,5.14,BAMLH0A0HYM2,actual
2020-09-16,5.07,BAMLH0A0HYM2,actual
2020-09-17,5.14,BAMLH0A0HYM2,actual
2020-09-18,5.16,BAMLH0A0HYM2,actual
2020-09-21,5.42,BAMLH0A0HYM2,actual
2020-09-22,5.45,BAMLH0A0HYM2,actual
2020-09-23,5.47,BAMLH0A0HYM2,actual
2020-09-24,5.64,BAMLH0A0HYM2,actual
2020-09-25,5.64,BAMLH0A0HYM2,actual
2020-09-28,5.52,BAMLH0A0HYM2,actual
2020-09-29,5.5,BAMLH0A0HYM2,actual
2020-09-30,5.41,BAMLH0A0HYM2,actual
2020-10-01,5.36,BAMLH0A0HYM2,actual
2020-10-02,5.38,BAMLH0A0HYM2,actual
2020-10-05,5.18,BAMLH0A0HYM2,actual
2020-10-06,5.06,BAMLH0A0HYM2,actual
2020-10-07,5.02,BAMLH0A0HYM2,actual
2020-10-08,4.97,BAMLH0A0HYM2,actual
2020-10-09,4.92,BAMLH0A0HYM2,actual
2020-10-12,4.92,BAMLH0A0HYM2,actual
2020-10-13,4.88,BAMLH0A0HYM2,actual
2020-10-14,4.89,BAMLH0A0HYM2,actual
2020-10-15,5.01,BAMLH0A0HYM2,actual
2020-10-16,4.94,BAMLH0A0HYM2,actual
2020-10-19,4.91,BAMLH0A0HYM2,actual
2020-10-20,4.9,BAMLH0A0HYM2,actual
2020-10-21,4.91,BAMLH0A0HYM2,actual
2020-10-22,4.88,BAMLH0A0HYM2,actual
2020-10-23,4.87,BAMLH0A0HYM2,actual
2020-10-26,5.03,BAMLH0A0HYM2,actual
2020-10-27,5.06,BAMLH0A0HYM2,actual
2020-10-28,5.29,BAMLH0A0HYM2,actual
2020-10-29,5.25,BAMLH0A0HYM2,actual
2020-10-30,5.25,BAMLH0A0HYM2,actual
2020-10-31,5.32,BAMLH0A0HYM2,actual
2020-11-02,5.25,BAMLH0A0HYM2,actual
2020-11-03,5.07,BAMLH0A0HYM2,actual
2020-11-04,4.79,BAMLH0A0HYM2,actual
2020-11-05,4.59,BAMLH0A0HYM2,actual
2020-11-06,4.67,BAMLH0A0HYM2,actual
2020-11-09,4.22,BAMLH0A0HYM2,actual
2020-11-10,4.37,BAMLH0A0HYM2,actual
2020-11-11,4.37,BAMLH0A0HYM2,actual
2020-11-12,4.62,BAMLH0A0HYM2,actual
2020-11-13,4.63,BAMLH0A0HYM2,actual
2020-11-16,4.5,BAMLH0A0HYM2,actual
2020-11-17,4.48,BAMLH0A0HYM2,actual
2020-11-18,4.42,BAMLH0A0HYM2,actual
2020-11-19,4.48,BAMLH0A0HYM2,actual
2020-11-20,4.49,BAMLH0A0HYM2,actual
2020-11-23,4.43,BAMLH0A0HYM2,actual
2020-11-24,4.31,BAMLH0A0HYM2,actual
2020-11-25,4.33,BAMLH0A0HYM2,actual
2020-11-26,4.33,BAMLH0A0HYM2,actual
2020-11-27,4.35,BAMLH0A0HYM2,actual
2020-11-30,4.33,BAMLH0A0HYM2,actual
2020-12-01,4.21,BAMLH0A0HYM2,actual
2020-12-02,4.17,BAMLH0A0HYM2,actual
2020-12-03,4.1,BAMLH0A0HYM2,actual
2020-12-04,4.03,BAMLH0A0HYM2,actual
2020-12-07,4.03,BAMLH0A0HYM2,actual
2020-12-08,4.03,BAMLH0A0HYM2,actual
2020-12-09,4.04,BAMLH0A0HYM2,actual
2020-12-10,4.08,BAMLH0A0HYM2,actual
2020-12-11,4.13,BAMLH0A0HYM2,actual
2020-12-14,4.07,BAMLH0A0HYM2,actual
2020-12-15,4.06,BAMLH0A0HYM2,actual
2020-12-16,4.06,BAMLH0A0HYM2,actual
2020-12-17,4.05,BAMLH0A0HYM2,actual
2020-12-18,4.03,BAMLH0A0HYM2,actual
2020-12-21,4.18,BAMLH0A0HYM2,actual
2020-12-22,4.12,BAMLH0A0HYM2,actual
2020-12-23,4.07,BAMLH0A0HYM2,actual
2020-12-24,4.05,BAMLH0A0HYM2,actual
2020-12-25,,BAMLH0A0HYM2,actual
2020-12-28,3.89,BAMLH0A0HYM2,actual
2020-12-29,3.85,BAMLH0A0HYM2,actual
2020-12-30,3.87,BAMLH0A0HYM2,actual
2020-12-31,3.86,BAMLH0A0HYM2,actual
2020-01-01,,DGS10,actual
2020-01-02,1.88,DGS10,actual
2020-01-03,1.8,DGS10,actual
2020-01-06,1.81,DGS10,actual
2020-01-07,1.83,DGS10,actual
2020-01-08,1.87,DGS10,actual
2020-01-09,1.85,DGS10,actual
2020-01-10,1.83,DGS10,actual
2020-01-13,1.85,DGS10,actual
2020-01-14,1.82,DGS10,actual
2020-01-15,1.79,DGS10,actual
2020-01-16,1.81,DGS10,actual
2020-01-17,1.84,DGS10,actual
2020-01-20,,DGS10,actual
2020-01-21,1.78,DGS10,actual
2020-01-22,1.77,DGS10,actual
2020-01-23,1.74,DGS10,actual
2020-01-24,1.7,DGS10,actual
2020-01-27,1.61,DGS10,actual
2020-01-28,1.65,DGS10,actual
2020-01-29,1.6,DGS10,actual
2020-01-30,1.57,DGS10,actual
2020-01-31,1.51,DGS10,actual
2020-02-03,1.54,DGS10,actual
2020-02-04,1.61,DGS10,actual
2020-02-05,1.66,DGS10,actual
2020-02-06,1.65,DGS10,actual
2020-02-07,1.59,DGS10,actual
2020-02-10,1.56,DGS10,actual
2020-02-11,1.59,DGS10,actual
2020-02-12,1.62,DGS10,actual
2020-02-13,1.61,DGS10,actual
2020-02-14,1.59,DGS10,actual
2020-02-17,,DGS10,actual
2020-02-18,1.55,DGS10,actual
2020-02-19,1.56,DGS10,actual
2020-02-20,1.52,DGS10,actual
2020-02-21,1.46,DGS10,actual
2020-02-24,1.38,DGS10,actual
2020-02-25,1.33,DGS10,actual
2020-02-26,1.33,DGS10,actual
2020-02-27,1.3,DGS10,actual
2020-02-28,1.13,DGS10,actual
2020-03-02,1.1,DGS10,actual
2020-03-03,1.02,DGS10,actual
2020-03-04,1.02,DGS10,actual
2020-03-05,0.92,DGS10,actual
2020-03-06,0.74,DGS10,actual
2020-03-09,0.54,DGS10,actual
2020-03-10,0.76,DGS10,actual
2020-03-11,0.82,DGS10,actual
2020-03-12,0.88,DGS10,actual
2020-03-13,0.94,DGS10,actual
2020-03-16,0.73,DGS10,actual
2020-03-17,1.02,DGS10,actual
2020-03-18,1.18,DGS10,actual
