Date,SPY,UPRO,SSO,TLT,GLD,^VIX,^SPX
2020-01-02 05:00:00+00:00,301.19488525390625,35.00736999511719,37.61174774169922,120.58159637451172,143.9499969482422,12.470000267028809,3257.85009765625
2020-01-02 06:00:00+00:00,301.19488525390625,35.00736999511719,37.61174774169922,120.58159637451172,143.9499969482422,12.470000267028809,3257.85009765625
2020-01-03 05:00:00+00:00,298.91424560546875,34.247825622558594,37.05326461791992,122.43867492675781,145.86000061035156,12.470000267028809,3234.85009765625
2020-01-03 06:00:00+00:00,298.91424560546875,34.247825622558594,37.05326461791992,122.43867492675781,145.86000061035156,14.020000457763672,3234.85009765625
2020-01-06 05:00:00+00:00,300.0545959472656,34.6032600402832,37.3325080871582,121.74334716796875,147.38999938964844,14.020000457763672,3246.280029296875
2020-01-06 06:00:00+00:00,300.0545959472656,34.6032600402832,37.3325080871582,121.74334716796875,147.38999938964844,13.850000381469727,3246.280029296875
2020-01-07 05:00:00+00:00,299.21087646484375,34.30138397216797,37.114501953125,121.14482116699219,147.97000122070312,13.850000381469727,3237.179931640625
2020-01-07 06:00:00+00:00,299.21087646484375,34.30138397216797,37.114501953125,121.14482116699219,147.97000122070312,13.789999961853027,3237.179931640625
2020-01-08 05:00:00+00:00,300.8055114746094,34.83209228515625,37.49171447753906,120.34394836425781,146.86000061035156,13.789999961853027,3253.050048828125
2020-01-08 06:00:00+00:00,300.8055114746094,34.83209228515625,37.49171447753906,120.34394836425781,146.86000061035156,13.449999809265137,3253.050048828125
2020-01-09 05:00:00+00:00,302.84515380859375,35.54295349121094,38.00611114501953,120.76641082763672,146.02999877929688,13.449999809265137,3274.699951171875
2020-01-09 06:00:00+00:00,302.84515380859375,35.54295349121094,38.00611114501953,120.76641082763672,146.02999877929688,12.539999961853027,3274.699951171875
2020-01-10 05:00:00+00:00,301.9736328125,35.2410774230957,37.783206939697266,121.84014892578125,146.91000366210938,12.539999961853027,3265.35009765625
2020-01-10 06:00:00+00:00,301.9736328125,35.2410774230957,37.783206939697266,121.84014892578125,146.91000366210938,12.5600004196167,3265.35009765625
2020-01-13 05:00:00+00:00,304.05047607421875,35.95193862915039,38.29759979248047,121.47050476074219,145.82000732421875,12.5600004196167,3288.1298828125
2020-01-13 06:00:00+00:00,304.05047607421875,35.95193862915039,38.29759979248047,121.47050476074219,145.82000732421875,12.319999694824219,3288.1298828125
2020-01-14 05:00:00+00:00,303.5868835449219,35.781532287597656,38.18737030029297,122.09532165527344,145.69000244140625,12.319999694824219,3283.14990234375
2020-01-14 06:00:00+00:00,303.5868835449219,35.781532287597656,38.18737030029297,122.09532165527344,145.69000244140625,12.390000343322754,3283.14990234375
2020-01-15 05:00:00+00:00,304.2729187011719,36.02983856201172,38.34413528442383,122.90498352050781,146.5399932861328,12.390000343322754,3289.2900390625
2020-01-15 06:00:00+00:00,304.2729187011719,36.02983856201172,38.34413528442383,122.90498352050781,146.5399932861328,12.420000076293945,3289.2900390625
2020-01-16 05:00:00+00:00,306.803955078125,36.90624237060547,38.976097106933594,122.5177993774414,146.30999755859375,12.420000076293945,3316.81005859375
2020-01-16 06:00:00+00:00,306.803955078125,36.90624237060547,38.976097106933594,122.5177993774414,146.30999755859375,12.319999694824219,3316.81005859375
2020-01-17 05:00:00+00:00,307.759033203125,37.25193786621094,39.245548248291016,121.47050476074219,146.5800018310547,12.319999694824219,3329.6201171875
2020-01-17 06:00:00+00:00,307.759033203125,37.25193786621094,39.245548248291016,121.47050476074219,146.5800018310547,12.100000381469727,3329.6201171875
2020-01-21 05:00:00+00:00,307.1562805175781,37.042572021484375,39.06428527832031,122.74662017822266,146.74000549316406,12.100000381469727,3320.7900390625
2020-01-21 06:00:00+00:00,307.1562805175781,37.042572021484375,39.06428527832031,122.74662017822266,146.74000549316406,12.850000381469727,3320.7900390625
2020-01-22 05:00:00+00:00,307.19342041015625,37.06205368041992,39.088783264160156,123.17787170410156,146.7899932861328,12.850000381469727,3321.75
2020-01-22 06:00:00+00:00,307.19342041015625,37.06205368041992,39.088783264160156,123.17787170410156,146.7899932861328,12.90999984741211,3321.75
2020-01-23 05:00:00+00:00,307.54571533203125,37.13995361328125,39.15736389160156,124.04039001464844,147.1199951171875,12.90999984741211,3325.5400390625
2020-01-23 06:00:00+00:00,307.54571533203125,37.13995361328125,39.15736389160156,124.04039001464844,147.1199951171875,12.979999542236328,3325.5400390625
2020-01-24 05:00:00+00:00,304.8106384277344,36.14182662963867,38.439666748046875,125.04364776611328,147.97999572753906,12.979999542236328,3295.469970703125
2020-01-24 06:00:00+00:00,304.8106384277344,36.14182662963867,38.439666748046875,125.04364776611328,147.97999572753906,14.5600004196167,3295.469970703125
2020-01-27 05:00:00+00:00,299.9247741699219,34.41337585449219,37.21737289428711,126.98863220214844,148.99000549316406,14.5600004196167,3243.6298828125
2020-01-27 06:00:00+00:00,299.9247741699219,34.41337585449219,37.21737289428711,126.98863220214844,148.99000549316406,18.229999542236328,3243.6298828125
2020-01-28 05:00:00+00:00,303.0677795410156,35.47965621948242,37.99386215209961,125.99414825439453,147.66000366210938,18.229999542236328,3276.239990234375
2020-01-28 06:00:00+00:00,303.0677795410156,35.47965621948242,37.99386215209961,125.99414825439453,147.66000366210938,16.280000686645508,3276.239990234375
2020-01-29 05:00:00+00:00,302.8173522949219,35.387149810791016,37.93507385253906,127.226318359375,148.4600067138672,16.280000686645508,3273.39990234375
2020-01-29 06:00:00+00:00,302.8173522949219,35.387149810791016,37.93507385253906,127.226318359375,148.4600067138672,16.389999389648438,3273.39990234375
