Date,Close AAPL,High AAPL,Low AAPL,Open AAPL,Volume AAPL,ticker,source,is_filled
2023-01-03,123.7684555053711,129.53777972145332,122.87781986866916,128.92423659950236,112117500.0,AAPL,yfinance,0
2023-01-04,125.04503631591797,127.32110440506466,123.77835783326215,125.56951966733021,89113600.0,AAPL,yfinance,0
2023-01-05,123.7189712524414,126.44035327195598,123.4616823884138,125.80701406050522,80962700.0,AAPL,yfinance,0
2023-01-06,128.2711181640625,128.93414406697812,123.59034464347916,124.69869219835303,87754700.0,AAPL,yfinance,0
2023-01-09,128.7956085205078,132.02169350888224,128.53831960548445,129.11228573899893,70790800.0,AAPL,yfinance,0
2023-01-10,129.36956787109375,129.8940512742199,126.786727955699,128.9044576683215,63896200.0,AAPL,yfinance,0
2023-01-11,132.100830078125,132.1206110743782,129.1023632460795,129.88413539800015,69458900.0,AAPL,yfinance,0
2023-01-12,132.02166748046875,132.86281286375012,130.07216715098443,132.48677761592936,71379600.0,AAPL,yfinance,0
2023-01-13,133.3576202392578,133.51595882992456,130.28988932008468,130.65603409850235,57809700.0,AAPL,yfinance,0
2023-01-17,134.52532958984375,135.86127162359787,132.7341679468124,133.42688030875863,63646600.0,AAPL,yfinance,0
2023-01-18,133.80296325683594,137.16757560662668,133.62482854890547,135.3962096277664,69672800.0,AAPL,yfinance,0
2023-01-19,133.86231994628906,134.8321173698302,132.37792966331844,132.68470123913258,58280400.0,AAPL,yfinance,0
2023-01-20,136.4352264404297,136.58367449869263,132.82321685596753,133.8721833610444,80223600.0,AAPL,yfinance,0
2023-01-23,139.6415557861328,141.82856432193728,136.46495363412728,136.68266543769153,81760300.0,AAPL,yfinance,0
2023-01-24,141.04676818847656,141.67021696013663,138.83997878878998,138.8498692883404,66435100.0,AAPL,yfinance,0
2023-01-25,140.38372802734375,140.94778844428123,137.36546497180777,139.4238211686979,65799300.0,AAPL,yfinance,0
2023-01-26,142.46188354492188,142.748859009156,140.42330829899026,141.6800962423563,54105100.0,AAPL,yfinance,0
2023-01-27,144.41139221191406,145.69786696012557,141.5910594062202,141.6702287091871,70555800.0,AAPL,yfinance,0
