,SPY,UPRO,SSO,TLT,GLD,^VIX,^SPX,Open_fred,High_fred,Low_fred,Close_fred,Volume_fred,Open_fred,High_fred,Low_fred,Close_fred,Volume_fred
2020-03-03,,,,,,,,4.84,4.84,4.84,4.84,0,1.02,1.02,1.02,1.02,0.0
2020-03-04,,,,,,,,4.75,4.75,4.75,4.75,0,1.02,1.02,1.02,1.02,0.0
2020-03-05,,,,,,,,5.05,5.05,5.05,5.05,0,0.92,0.92,0.92,0.92,0.0
2020-03-06,,,,,,,,5.64,5.64,5.64,5.64,0,0.74,0.74,0.74,0.74,0.0
2020-03-09,,,,,,,,6.68,6.68,6.68,6.68,0,0.54,0.54,0.54,0.54,0.0
2020-03-10,,,,,,,,6.38,6.38,6.38,6.38,0,0.76,0.76,0.76,0.76,0.0
2020-03-11,,,,,,,,6.61,6.61,6.61,6.61,0,0.82,0.82,0.82,0.82,0.0
2020-03-12,,,,,,,,7.42,7.42,7.42,7.42,0,0.88,0.88,0.88,0.88,0.0
2020-03-13,,,,,,,,7.31,7.31,7.31,7.31,0,0.94,0.94,0.94,0.94,0.0
2020-03-16,,,,,,,,8.38,8.38,8.38,8.38,0,0.73,0.73,0.73,0.73,0.0
2020-03-17,,,,,,,,8.41,8.41,8.41,8.41,0,1.02,1.02,1.02,1.02,0.0
2020-03-18,,,,,,,,9.04,9.04,9.04,9.04,0,1.18,1.18,1.18,1.18,0.0
2020-03-19,,,,,,,,9.82,9.82,9.82,9.82,0,1.12,1.12,1.12,1.12,0.0
2020-03-20,,,,,,,,10.09,10.09,10.09,10.09,0,0.92,0.92,0.92,0.92,0.0
2020-03-23,,,,,,,,10.87,10.87,10.87,10.87,0,0.76,0.76,0.76,0.76,0.0
2020-03-24,,,,,,,,10.55,10.55,10.55,10.55,0,0.84,0.84,0.84,0.84,0.0
2020-03-25,,,,,,,,10.11,10.11,10.11,10.11,0,0.88,0.88,0.88,0.88,0.0
2020-03-26,,,,,,,,9.29,9.29,9.29,9.29,0,0.83,0.83,0.83,0.83,0.0
2020-03-27,,,,,,,,8.99,8.99,8.99,8.99,0,0.72,0.72,0.72,0.72,0.0
2020-03-30,,,,,,,,8.82,8.82,8.82,8.82,0,0.7,0.7,0.7,0.7,0.0
2020-03-31,,,,,,,,8.77,8.77,8.77,8.77,0,0.7,0.7,0.7,0.7,0.0
2020-04-01,,,,,,,,9.11,9.11,9.11,9.11,0,0.62,0.62,0.62,0.62,0.0
2020-04-02,,,,,,,,9.17,9.17,9.17,9.17,0,0.63,0.63,0.63,0.63,0.0
2020-04-03,,,,,,,,9.43,9.43,9.43,9.43,0,0.62,0.62,0.62,0.62,0.0
2020-04-06,,,,,,,,9.26,9.26,9.26,9.26,0,0.67,0.67,0.67,0.67,0.0
2020-04-07,,,,,,,,8.88,8.88,8.88,8.88,0,0.75,0.75,0.75,0.75,0.0
2020-04-08,,,,,,,,8.81,8.81,8.81,8.81,0,0.77,0.77,0.77,0.77,0.0
2020-04-09,,,,,,,,7.96,7.96,7.96,7.96,0,0.73,0.73,0.73,0.73,0.0
2020-04-13,,,,,,,,7.7,7.7,7.7,7.7,0,0.76,0.76,0.76,0.76,0.0
