Price,Close,High,Low,Open,Volume
Ticker,UPRO,UPRO,UPRO,UPRO,UPRO
Date,,,,,
2009-06-25,1.1465036869049072,1.151126575472385,1.0710823658508786,1.0710823658508786,2577600
2009-06-26,1.1405600309371948,1.1536364695870511,1.1196899700043705,1.1367293712045712,13104000
2009-06-29,1.1729199886322021,1.1755619630609406,1.1330305281661648,1.1491445995435086,8690400
2009-06-30,1.1449183225631714,1.1824301888496769,1.1187653368945452,1.1729200328556313,17128800
2009-07-01,1.1572020053863525,1.191544140877072,1.154163464263676,1.1587863502930535,12038400
2009-07-02,1.0617042779922485,1.1125569533845157,1.0613077097709107,1.112029216085966,29275200
2009-07-06,1.064609408378601,1.0657982058567814,1.0216824370715647,1.0323813876352526,22572000
2009-07-07,0.9983025789260864,1.0621006196362832,0.9983025789260864,1.0594586459774653,29016000
2009-07-08,0.9994916319847107,1.0237957778759583,0.9642250611773094,1.0177198264306417,49824000
2009-07-09,1.0056995153427124,1.0286826655912689,0.9950005662374785,1.0170583909382354,45892800
2009-07-10,0.9960575699806213,1.0134925150787029,0.9761128398890336,0.987736212201086,51199200
2009-07-13,1.0688366889953613,1.070553337129527,0.9843018016303298,1.0080771855595698,43675200
2009-07-14,1.090762734413147,1.090762734413147,1.0558927288127817,1.0796681191198612,38700000
2009-07-15,1.1840153932571411,1.1910158765591978,1.1264255940982555,1.1307851235626563,36921600
2009-07-16,1.215715765953064,1.2291888840845686,1.1661840706684945,1.1721278332894411,46396800
2009-07-17,1.2136024236679077,1.2217915909963084,1.192601087857667,1.2121492472300053,27374400
2009-07-20,1.250454306602478,1.2602288393756818,1.218489641272677,1.2381699892537426,37195200
2009-07-21,1.2711918354034424,1.2850606091555754,1.226018668515568,1.2828152037593197,45237600
2009-07-22,1.2688144445419312,1.292985488249323,1.2445103044938697,1.2466234072994422,37634400
2009-07-23,1.353084921836853,1.371048619419199,1.271587562564389,1.2726441706316112,55022400
2009-07-24,1.3707844018936157,1.3732941864583608,1.313855667627342,1.3314227991408263,60127200
2009-07-27,1.3824079036712646,1.3853141433241278,1.341593120664208,1.3665573054818452,44935200
2009-07-28,1.3706518411636353,1.383728384320557,1.3291771466341198,1.3542735116727718,46476000
2009-07-29,1.3524240255355835,1.3652370993794178,1.3258753864139448,1.3443670486117327,55908000
2009-07-30,1.394692063331604,1.4432994403273602,1.3931066975942077,1.4042022170964228,55886400
2009-07-31,1.3987860679626465,1.429958502900426,1.3835965320346506,1.39614511440588,54871200
2009-08-03,1.4691880941390991,1.4744719291857828,1.4236182337348706,1.4483190600549807,39600000
2009-08-04,1.483321189880371,1.4886051384854306,1.4426387082231489,1.4512244444864164,34984800
2009-08-05,1.4727543592453003,1.48913269329785,1.4329970949684194,1.4868874008738477,62568000
2009-08-06,1.445148229598999,1.4956053533873166,1.4265244894049558,1.4911146550855388,69249600
2009-08-07,1.5024738311767578,1.5391934654382198,1.4686604367245304,1.4932280546445826,44042400
2009-08-10,1.4920387268066406,1.5039263600975448,1.462847210661399,1.4830563119628855,46512000
2009-08-11,1.4352421760559082,1.4764526106489255,1.4265242527336508,1.4747350557277026,48729600
2009-08-12,1.4851707220077515,1.5167388186068371,1.4292985966614533,1.4292985966614533,71791200
2009-08-13,1.518720030784607,1.5201732074246037,1.4620556649045997,1.5057757844727861,100713600
2009-08-14,1.4823968410491943,1.51990870303412,1.4343171955327019,1.51990870303412,72115200
2009-08-17,1.3722374439239502,1.4005035241989474,1.3655004336629197,1.3975972851069571,84139200
2009-08-18,1.4098820686340332,1.4201844552165468,1.3755399108555533,1.3843891206084493,53431200
2009-08-19,1.442242980003357,1.4567725909229157,1.370123569655514,1.3722376931753675,61682400
2009-08-20,1.4893972873687744,1.497190907666605,1.4397332937129355,1.4458093585883771,51573600
2009-08-21,1.572610855102539,1.5825176899087348,1.5159465035643673,1.5241356699589514,61516800
2009-08-24,1.5723469257354736,1.6198978191065478,1.5580816917351519,1.5936126439984521,60307200
2009-08-25,1.58278226852417,1.6291442432854817,1.5740642301199628,1.5940089579356502,85644000
2009-08-26,1.5823856592178345,1.6060288554093751,1.5543829337724995,1.569044733320152,83944800
2009-08-27,1.5970473289489746,1.6095950040688538,1.5286263968780813,1.5793469886062572,111304800
2009-08-28,1.591367244720459,1.6386545496753064,1.5611201301693538,1.63350290375208,84880800
2009-08-31,1.5522699356079102,1.5553083646771304,1.522286181086058,1.5460616816524768,103269600
2009-09-01,1.4462052583694458,1.5850279736902375,1.4392047734013005,1.5292879059666606,137505600
2009-09-02,1.4324686527252197,1.4580927676443391,1.4205809009037642,1.429958867588908,67384800
2009-09-03,1.4641685485839844,1.4719621679571488,1.4222981801936434,1.4558471919472795,53100000
2009-09-04,1.5282299518585205,1.529550938877538,1.4631120486718343,1.4755284423647452,63266400
2009-09-08,1.5683845281600952,1.5734030765857243,1.5438160087694321,1.5727430366251665,63734400
2009-09-09,1.6052366495132446,1.6205584893155582,1.562573144224663,1.5772339236574047,54424800
2009-09-10,1.6541081666946411,1.656616930676876,1.5817243908894316,1.6065574017676763,64742400
2009-09-11,1.6517305374145508,1.6777512097316998,1.629936070319773,1.6626928453167238,66132000
2009-09-14,1.6796003580093384,1.6850163819236204,1.6102551173986035,1.6102551173986035,56160000
2009-09-15,1.698752760887146,1.7169808382674714,1.6526550569623388,1.6862050858922646,76881600
2009-09-16,1.7741742134094238,1.7756263694895773,1.6988850959930821,1.7153957331023908,71560800
2009-09-17,1.7657206058502197,1.8116860093583589,1.7385110178908418,1.7695503570277094,96328800
2009-09-18,1.7708714008331299,1.7914770762696217,1.7547574442988687,1.7910805080535692,87868800
2009-09-21,1.7559459209442139,1.769682392960481,1.7186974247922828,1.7291319965281573,58125600
2009-09-22,1.788967251777649,1.8017793063315106,1.7646640162805216,1.78870287298957,56448000
