Date,ticker,Open,Close,High,Low,Volume
1997-05-01,BAMLH0A0HYM2,2.91,2.91,2.91,2.91,0
1997-05-02,BAMLH0A0HYM2,2.9,2.9,2.9,2.9,0
1997-05-05,BAMLH0A0HYM2,2.86,2.86,2.86,2.86,0
1997-05-06,BAMLH0A0HYM2,2.83,2.83,2.83,2.83,0
1997-05-07,BAMLH0A0HYM2,2.79,2.79,2.79,2.79,0
1997-05-08,BAMLH0A0HYM2,2.79,2.79,2.79,2.79,0
1997-05-09,BAMLH0A0HYM2,2.81,2.81,2.81,2.81,0
1997-05-12,BAMLH0A0HYM2,2.82,2.82,2.82,2.82,0
1997-05-13,BAMLH0A0HYM2,2.73,2.73,2.73,2.73,0
1997-05-14,BAMLH0A0HYM2,2.69,2.69,2.69,2.69,0
1997-05-15,BAMLH0A0HYM2,2.7,2.7,2.7,2.7,0
1997-05-16,BAMLH0A0HYM2,2.68,2.68,2.68,2.68,0
1997-05-19,BAMLH0A0HYM2,2.67,2.67,2.67,2.67,0
1997-05-20,BAMLH0A0HYM2,2.69,2.69,2.69,2.69,0
1997-05-21,BAMLH0A0HYM2,2.67,2.67,2.67,2.67,0
1997-05-22,BAMLH0A0HYM2,2.63,2.63,2.63,2.63,0
1997-05-23,BAMLH0A0HYM2,2.64,2.64,2.64,2.64,0
1997-05-26,BAMLH0A0HYM2,,,,,0
1997-05-27,BAMLH0A0HYM2,2.6,2.6,2.6,2.6,0
1997-05-28,BAMLH0A0HYM2,2.61,2.61,2.61,2.61,0
1997-05-29,BAMLH0A0HYM2,2.61,2.61,2.61,2.61,0
1997-05-30,BAMLH0A0HYM2,2.65,2.65,2.65,2.65,0
1997-05-31,BAMLH0A0HYM2,2.68,2.68,2.68,2.68,0
1997-06-02,BAMLH0A0HYM2,2.66,2.66,2.66,2.66,0
1997-06-03,BAMLH0A0HYM2,2.68,2.68,2.68,2.68,0
1997-06-04,BAMLH0A0HYM2,2.65,2.65,2.65,2.65,0
1997-06-05,BAMLH0A0HYM2,2.6,2.6,2.6,2.6,0
